종목코드,종목명,현재가,전일종가,자본금(억),액면가,상장주수,시가총액(억),PER,PBR,EPS,BPS,상장일
005930,삼성전자,59500,59200,0,100,5919637922,0,12.02,1.03,4950,57930,N/A
000660,SK하이닉스,257000,246000,0,5000,728002365,0,9.45,2.46,27182,104567,N/A
373220,LG에너지솔루션,305000,291000,0,500,234000000,0,-70.05,3.38,-4354,90240,N/A
207940,삼성바이오로직스,1016000,999000,0,2500,71174000,0,66.75,6.63,15221,153212,N/A
005380,현대차,210000,207000,0,5000,204757766,0,4.56,0.52,46042,405094,N/A
000270,기아,98700,98200,0,5000,397672632,0,4.04,0.7,24413,141271,N/A
068270,셀트리온,162200,160200,0,1000,222425958,0,90.67,1.96,1789,82821,N/A
005490,POSCO홀딩스,262500,260000,0,5000,80932952,0,20.08,0.38,13073,689205,N/A
035420,NAVER,269500,252000,0,100,158437008,0,22.62,1.62,11913,166221,N/A
051910,LG화학,211500,206000,0,5000,70592343,0,-23.97,0.5,-8825,425191,N/A
006400,삼성SDI,176300,168200,0,5000,80585530,0,21.23,0.63,8305,278721,N/A
028260,삼성물산,161900,165300,0,100,169976544,0,13.18,0.9,12280,180536,N/A
105560,KB금융,106500,106700,0,5000,381462103,0,8.38,0.71,12705,150243,N/A
035720,카카오,66600,60400,0,100,441766501,0,537.1,2.91,124,22860,N/A
